from_location_id,to_location_id,google_distance_km,sectional_tat
24,14,1996.493,197520000
24,15,1096.445,79200000
24,16,2651.309,318157080
24,17,960.912,111600000
24,18,451.342,54161040
24,19,869.111,75660000
24,20,1585.893,140400000
24,21,720.011,86401320
24,22,2200.157,264018840
24,23,406.904,48828480
24,87,1337.69,160522800
24,89,1582.654,189918480
24,90,1284.786,86400000
24,91,1746.012,209521440
24,92,1620.147,194417640
24,93,1199.958,143994960
24,95,1560.476,187257120
24,96,1280.37,153644399
24,97,1606.386,192766320
24,98,1427.25,171270000
24,99,1650.618,198074159
24,103,1601.01,144000000
24,104,1586.597,190391640
24,105,1663.542,199625040
24,110,1694.83,203379600
24,114,1366.49,163978800
24,117,1376.681,165201720
24,119,1595.6,191471999
24,121,1235.716,148285920
24,124,1067.553,128106360
24,126,643.897,77267640
24,128,489.811,58777320
24,129,234.47,28136400
24,131,1122.615,134713800
24,133,1306.406,156768720
24,159,1161.936,139432320
24,195,1779.136,213496320
24,196,869.975,104397000
24,473,1831.544,219785280
25,50,1444.521,108000000
25,125,1575.278,189033359
25,54,1500.204,180024480
25,153,1524.945,182993400
